"YMTGDP","ITMCDP","CLRCDP","ACT","FREE","KEEPS","LOWLIMIT","CONSUME","DELIVERY","PRODUCTION","PURCHES"
201201,2842,30,0,0,0,0,0,0,0,0
201201,2842,580,9723,7965.2,0,0,1323,0,0,0
201201,8110,30,46529.2,37855.2,0,0,22881.5,0,55216.1,0
201201,8110,580,3508211.6,2681003.8,600000.2,0,353636.7,0,49470,480000
201201,9007,30,200,0,0,0,0,3200,3400,0
201201,9007,580,314790,228390,120000,0,0,57200,1800,0
201201,12222,30,1993.4,1791.4,0,0,0,0,0,0
201201,12222,580,181,8.7,164.3,0,27.7,0,0,200
201201,13976,30,77.5,77.5,0,0,0,0,0,0
201201,13976,580,68.2,68.2,0,0,0,0,0,0
201201,21192,580,166.5,166.5,0,0,0,0,0,0
201201,42875,580,3400,3400,0,0,0,800,0,0
201201,236228,30,0,0,0,0,0,0,0,0
201201,236228,580,94.2,94.2,0,0,0,0,0,0
201201,267001,30,278.5,278.5,0,0,606,0,847.5,0
201201,267001,580,48600.2,46989.3,0,0,27764,0,0,0
201201,311627,580,0,0,0,0,0,0,0,0
201201,345189,580,15200,14000,1200,0,0,200,0,0
201201,403025,30,0,0,0,0,0,600,600,0
201201,403025,580,1800,0,0,0,0,7200,5400,0
201201,410123,580,8400,8400,0,0,0,0,0,0
201201,471028,580,0,0,0,0,0,0,0,0
201201,1043617,30,0,0,0,0,0,0,0,0
201201,1043617,580,1312,0,0,0,0,5982,5951,0
201201,1052456,580,1828.7,1828.7,0,0,10.5,0,0,0
201201,1052730,30,2061,2061,0,0,0,0,0,0
201201,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201201,1094947,30,0,0,0,0,0,0,0,0
201201,1094947,580,73852,61611.8,3168.9,0,31203.1,0,0,70000
201201,1097782,580,200,0,0,0,0,2000,200,0
201201,1110902,30,0,0,0,0,0,0,0,0
201201,1110902,580,400,0,0,0,0,0,400,0
201201,1117808,580,66,0,0,0,0,29,95,0
201201,1186333,580,200,200,0,0,0,0,0,0
201201,1238326,580,270.1,270.1,0,0,0,0,0,0
201201,1239635,580,0,0,0,0,0,0,0,0
201201,1247603,30,0,0,0,0,0,534,0,0
201201,1247603,580,0,0,0,0,0,6242,3119,0
201201,1306061,580,0,0,0,0,0,0,0,0
201201,1323375,580,0,0,0,0,0,0,0,0
201201,1323394,580,0,0,0,0,0,0,0,0
201201,1371593,30,0,0,0,0,0,0,0,1100
201201,1371593,580,0,0,0,0,0,0,0,1100
201201,1398500,580,58.7,58.7,0,0,0,0,0,0
201201,1401220,580,0,0,0,0,0,0,0,0
201201,1415687,580,0,0,0,0,0,0,0,0
201201,1419109,580,13347.1,9223.8,0,0,86.7,0,0,0
201201,1420200,580,0,0,0,0,0,0,0,0
201201,1440762,580,0,0,0,0,0,75,75,0
201201,1444713,580,0,0,0,0,0,0,0,0
201201,1553859,30,0,0,0,0,650,0,650,0
201201,1553859,580,0,0,0,0,0,0,0,0
201201,1569060,30,0,0,0,0,0,0,0,0
201201,1569060,580,0,0,0,0,0,0,0,0
201201,1641071,580,401,401,0,0,0,0,0,0
201202,2842,30,0,0,0,0,0,0,0,0
201202,2842,580,6709.8,6709.8,0,0,2888.7,0,0,0
201202,8110,30,21249,12911.3,0,0,25056.2,0,0,0
201202,8110,580,2945968.1,2701363.2,0.2,0,562243.5,0,0,0
201202,9007,30,0,0,0,0,0,600,400,0
201202,9007,580,315390,245590,0,0,0,79800,1000,80000
201202,12222,30,1791.4,1791.4,0,0,202,0,0,0
201202,12222,580,170.3,6,164.3,0,10.7,0,0,0
201202,13976,30,77.5,77.5,0,0,0,0,0,0
201202,13976,580,68.2,68.2,0,0,0,0,0,0
201202,21192,580,166.5,166.5,0,0,0,0,0,0
201202,42875,580,3400,3000,0,0,0,0,0,0
201202,236228,30,0,0,0,0,0,0,0,0
201202,236228,580,94.2,94.2,0,0,0,0,0,0
201202,267001,30,3855.2,1633.2,0,0,0,0,3576.7,0
201202,267001,580,13170.4,11871.2,0,0,35429.8,0,0,0
201202,345189,580,15000,12200,1200,0,0,200,0,0
201202,403025,30,0,0,0,0,0,0,0,0
201202,403025,580,0,0,0,0,0,1800,0,0
201202,410123,580,8400,8400,0,0,0,0,0,0
201202,1043617,30,0,0,0,0,0,0,0,0
201202,1043617,580,2132,0,0,0,0,7443.5,8263.5,0
201202,1052456,580,1828.7,1828.7,0,0,0,0,0,0
201202,1052730,30,2009.6,2009.6,0,0,51.4,0,0,0
201202,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201202,1094947,30,0,0,0,0,0,0,0,0
201202,1094947,580,103321.9,92467.3,3168.9,0,40530.1,0,0,70000
201202,1097782,580,0,0,0,0,0,200,0,0
201202,1110902,30,0,0,0,0,0,0,0,0
201202,1110902,580,0,0,0,0,0,400,0,0
201202,1117808,580,581,0,0,0,0,91,606,0
201202,1186333,580,200,200,0,0,0,0,0,0
201202,1238326,580,270.1,270.1,0,0,0,0,0,0
201202,1239635,580,0,0,0,0,0,0,0,0
201202,1247603,30,0,0,0,0,0,0,0,0
201202,1247603,580,2700,0,0,0,0,0,2700,0
201202,1306061,580,0,0,0,0,0,0,0,0
201202,1323375,580,0,0,0,0,0,0,0,0
201202,1323394,580,0,0,0,0,0,0,0,0
201202,1371593,30,0,0,0,0,0,0,0,0
201202,1371593,580,0,0,0,0,0,0,0,300
201202,1398500,580,58.7,58.7,0,0,0,0,0,0
201202,1401220,580,0,0,0,0,0,0,0,0
201202,1415687,580,0,0,0,0,0,0,0,0
201202,1419109,580,36028.7,33918.3,0,0,2318.4,0,0,25000
201202,1420200,580,300,0,0,0,0,0,300,0
201202,1440762,580,0,0,0,0,0,0,0,0
201202,1553859,30,0,0,0,0,3800,0,3800,0
201202,1553859,580,0,0,0,0,0,0,0,0
201202,1569060,30,0,0,0,0,0,0,0,0
201202,1569060,580,0,0,0,0,0,0,0,0
201202,1641071,580,401,401,0,0,0,0,0,0
201202,1892857,580,0,0,0,0,0,20,0,20
201203,2842,30,0,0,0,0,0,0,0,0
201203,2842,580,7056.9,7056.9,0,0,5447.9,0,6362.5,0
201203,8110,30,22808,21980.9,0,0,24919.7,0,27642.4,0
201203,8110,580,2371529.3,2130163.9,0.2,0,612598.8,0,38160,0
201203,9007,30,0,0,0,0,0,8000,8000,0
201203,9007,580,268990,154590,0,0,0,85200,0,50000
201203,12222,30,1791.4,1791.4,0,0,0,0,0,0
201203,12222,580,170.3,170.3,0,0,0,0,0,0
201203,13976,30,0,0,0,0,0,0,0,0
201203,13976,580,68.2,0.2,0,0,0,0,0,0
201203,21192,580,166.5,166.5,0,0,0,0,0,0
201203,42875,580,3000,3000,0,0,0,400,0,0
201203,236228,30,0,0,0,0,0,0,0,0
201203,236228,580,94.2,94.2,0,0,0,0,0,0
201203,267001,30,1768,1364,0,0,2222,0,0,0
201203,267001,580,6647.6,4760.4,0,0,27372.8,0,20850,0
201203,345189,580,13000,10800,1200,0,0,2000,0,0
201203,403025,30,0,0,0,0,0,2200,2200,0
201203,403025,580,200,0,0,0,0,1400,1600,0
201203,410123,580,8400,8400,0,0,0,0,0,0
201203,1043617,30,0,0,0,0,0,0,0,0
201203,1043617,580,125,0,0,0,0,11312,25759,0
201203,1052456,580,1827.4,1827.4,0,0,1.3,0,0,0
201203,1052730,30,2009.6,2009.6,0,0,0,0,0,0
201203,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201203,1094947,30,0,0,0,0,0,0,0,0
201203,1094947,580,68559.5,44432.9,614,0,34762.4,0,0,0
201203,1097782,580,400,0,0,0,0,200,600,0
201203,1110902,30,0,0,0,0,0,0,0,0
201203,1110902,580,0,0,0,0,0,0,0,0
201203,1117808,580,3,0,0,0,0,1013,435,0
201203,1186333,580,200,200,0,0,0,0,0,0
201203,1238326,580,270.1,270.1,0,0,0,0,0,0
201203,1239635,580,0,0,0,0,0,0,0,0
201203,1247603,30,0,0,0,0,0,0,0,0
201203,1247603,580,1400,0,0,0,0,2700,1400,0
201203,1306061,580,0,0,0,0,0,0,0,0
201203,1323375,580,0,0,0,0,0,0,0,0
201203,1323394,580,0,0,0,0,0,0,0,0
201203,1371593,30,0,0,0,0,0,0,0,0
201203,1371593,580,0,0,0,0,0,0,0,500
201203,1398500,580,58.7,58.7,0,0,0,0,0,0
201203,1401220,580,0,0,0,0,0,0,0,0
201203,1415687,580,0,0,0,0,0,0,0,0
201203,1419109,580,32376.6,28968.2,0,0,3652.1,0,0,0
201203,1420200,580,600,0,0,0,0,300,600,0
201203,1440762,580,1,0,0,0,0,0,1,0
201203,1553859,30,0,0,0,0,0,0,0,0
201203,1553859,580,0,0,0,0,21000,0,21000,0
201203,1569060,30,0,0,0,0,0,0,0,0
201203,1569060,580,0,0,0,0,0,0,0,0
201203,1641071,580,401,401,0,0,0,0,0,0
201203,1892857,580,0,0,0,0,0,0,0,0
201204,2842,30,0,0,0,0,0,0,0,0
201204,2842,580,7043.1,4889.6,0,0,10.1,0,0,0
201204,8110,30,13203.2,11194.7,0,0,9609.1,0,0,0
201204,8110,580,1830944.6,1619835.2,0.2,0,547534.7,0,6950,0
201204,9007,30,0,0,0,0,0,5400,5400,0
201204,9007,580,144390,52990,0,0,0,99800,1600,0
201204,12222,30,1791.4,1791.4,0,0,0,0,0,0
201204,12222,580,170.3,170.3,0,0,0,0,0,0
201204,13976,30,0,0,0,0,0,0,0,0
201204,13976,580,0,0,0,0,410.1,0,404.3,0
201204,21192,580,166.5,166.5,0,0,0,0,0,0
201204,42875,580,2000,600,0,0,0,1000,0,0
201204,236228,30,0,0,0,0,0,0,0,0
201204,236228,580,94.2,94.2,0,0,0,0,0,0
201204,267001,30,1392.5,916.7,0,0,404,0,0,0
201204,267001,580,15517.3,4897.8,0,0,18930.3,0,27800,0
201204,345189,580,8800,4800,1200,0,0,4200,0,0
201204,403025,30,400,0,0,0,0,0,400,0
201204,403025,580,0,0,0,0,0,200,0,0
