YMTGDP,ITMCDP,CLRCDP,ACT,CONSUME
201201,item_1,property_no_1,0,0
201201,item_1,property_no_2,9723,1323
201201,item_2,property_no_1,46529.2,22881.5
201201,item_2,property_no_2,3508211.6,353636.7
201201,item_3,property_no_1,200,0
201201,item_3,property_no_2,314790,0
201201,item_4,property_no_1,1993.4,0
201201,item_4,property_no_2,181,27.7
201201,item_5,property_no_1,77.5,0
201201,item_5,property_no_2,68.2,0
201201,item_6,property_no_2,166.5,0
201201,item_7,property_no_2,3400,0
201201,item_8,property_no_1,0,0
201201,item_8,property_no_2,94.2,0
201201,item_9,property_no_1,278.5,606
201201,item_9,property_no_2,48600.2,27764
201201,item_10,property_no_2,0,0
201201,item_11,property_no_2,15200,0
201201,item_12,property_no_1,0,0
201201,item_12,property_no_2,1800,0
201201,item_13,property_no_2,8400,0
201201,item_14,property_no_2,0,0
201201,item_15,property_no_1,0,0
201201,item_15,property_no_2,1312,0
201201,item_16,property_no_2,1828.7,10.5
201201,item_17,property_no_1,2061,0
201201,item_17,property_no_2,2912.6,0
201201,item_18,property_no_1,0,0
201201,item_18,property_no_2,73852,31203.1
201201,item_19,property_no_2,200,0
201201,item_20,property_no_1,0,0
201201,item_20,property_no_2,400,0
201201,item_21,property_no_2,66,0
201201,item_22,property_no_2,200,0
201201,item_23,property_no_2,270.1,0
201201,item_24,property_no_2,0,0
201201,item_25,property_no_1,0,0
201201,item_25,property_no_2,0,0
201201,item_26,property_no_2,0,0
201201,item_27,property_no_2,0,0
201201,item_28,property_no_2,0,0
201201,item_29,property_no_1,0,0
201201,item_29,property_no_2,0,0
201201,item_30,property_no_2,58.7,0
201201,item_31,property_no_2,0,0
201201,item_32,property_no_2,0,0
201201,item_33,property_no_2,13347.1,86.7
201201,item_34,property_no_2,0,0
201201,item_35,property_no_2,0,0
201201,item_36,property_no_2,0,0
201201,item_37,property_no_1,0,650
201201,item_37,property_no_2,0,0
201201,item_38,property_no_1,0,0
201201,item_38,property_no_2,0,0
201201,item_39,property_no_2,401,0
201202,item_1,property_no_1,0,0
201202,item_1,property_no_2,6709.8,2888.7
201202,item_2,property_no_1,21249,25056.2
201202,item_2,property_no_2,2945968.1,562243.5
201202,item_3,property_no_1,0,0
201202,item_3,property_no_2,315390,0
201202,item_4,property_no_1,1791.4,202
201202,item_4,property_no_2,170.3,10.7
201202,item_5,property_no_1,77.5,0
201202,item_5,property_no_2,68.2,0
201202,item_6,property_no_2,166.5,0
201202,item_7,property_no_2,3400,0
201202,item_8,property_no_1,0,0
201202,item_8,property_no_2,94.2,0
201202,item_9,property_no_1,3855.2,0
