"","x"
"1","2842-30"
"2","2842-580"
"3","8110-30"
"4","8110-580"
"5","9007-30"
"6","9007-580"
"7","12222-30"
"8","12222-580"
"9","13976-30"
"10","13976-580"
"11","21192-580"
"12","42875-580"
"13","236228-30"
"14","236228-580"
"15","267001-30"
"16","267001-580"
"17","311627-580"
"18","345189-580"
"19","403025-30"
"20","403025-580"
"21","410123-580"
"22","471028-580"
"23","1043617-30"
"24","1043617-580"
"25","1052456-580"
"26","1052730-30"
"27","1052730-580"
"28","1094947-30"
"29","1094947-580"
"30","1097782-580"
"31","1110902-30"
"32","1110902-580"
"33","1117808-580"
"34","1186333-580"
"35","1238326-580"
"36","1239635-580"
"37","1247603-30"
"38","1247603-580"
"39","1306061-580"
"40","1323375-580"
"41","1323394-580"
"42","1371593-30"
"43","1371593-580"
"44","1398500-580"
"45","1401220-580"
"46","1415687-580"
"47","1419109-580"
"48","1420200-580"
"49","1440762-580"
"50","1444713-580"
"51","1553859-30"
"52","1553859-580"
"53","1569060-30"
"54","1569060-580"
"55","1641071-580"
"56","1892857-580"
"57","1246424-580"
"58","1351711-580"
"59","1351710-580"
"60","345189-30"
"61","1306061-30"
"62","1899424-580"
"63","1022944-580"
"64","306493-580"
"65","1371413-580"
"66","1371651-580"
"67","1371661-580"
"68","1065308-580"
"69","1239634-580"
"70","464169-580"
"71","1040234-580"
"72","1101304-580"
"73","2444435-580"
"74","2444439-580"
"75","2444436-580"
"76","2476964-580"
"77","1040233-580"
"78","2243523-580"
"79","2444440-580"
"80","2505081-580"
"81","1371656-580"
"82","2444435-30"
"83","1117808-30"
"84","2569159-580"
"85","2243523-30"
"86","2517725-30"
"87","2517725-580"
"88","2530359-580"
"89","2543678-580"
"90","1608790-580"
"91","2617190-580"
"92","2617271-30"
"93","2617271-580"
"94","2617272-580"
"95","2617273-580"
"96","2617276-30"
"97","2566588-580"
"98","2617276-580"
"99","2731081-580"
"100","1323376-580"
"101","29520-580"
"102","2479221-580"
"103","2530392-580"
"104","2543678-30"
"105","2777240-580"
"106","2777241-580"
"107","2783040-580"
"108","1403114-580"
"109","2553935-580"
"110","2707373-580"
"111","2794778-580"
"112","21192-30"
"113","1371660-580"
"114","2617275-580"
"115","1248296-580"
"116","2689500-580"
"117","2689501-580"
"118","1277245-580"
"119","2904441-580"
"120","262327-580"
"121","2923110-580"
"122","2444439-30"
"123","2644386-580"
"124","1535989-580"
"125","2623010-580"
"126","2644386-30"
"127","3059140-580"
"128","1186333-30"
"129","1248296-30"
"130","1351714-580"
"131","2134740-580"
"132","2913057-580"
"133","2926780-580"
"134","3077972-30"
"135","2432914-580"
"136","2444423-580"
"137","3087521-30"
"138","3087543-580"
"139","3087544-580"
"140","3088864-30"
"141","3077970-30"
"142","3077971-30"
"143","3077972-580"
"144","3112095-30"
"145","3112103-580"
"146","3112349-580"
"147","3112350-580"
"148","3115718-580"
"149","3124092-580"
"150","3059167-30"
"151","3122277-580"
"152","3130323-30"
"153","3130324-580"
"154","2142908-580"
"155","2444429-580"
"156","3152238-30"
"157","3167218-30"
"158","3167218-580"
"159","3172636-580"
"160","3100143-30"
"161","3100143-580"
"162","3205524-580"
"163","2913055-580"
"164","3235013-30"
"165","3235013-580"
"166","3237097-30"
"167","3100611-580"
"168","3100615-580"
"169","3164308-30"
"170","3267809-580"
"171","2476964-30"
"172","2505081-30"
"173","3208246-580"
"174","3208248-580"
"175","3281700-30"
"176","3297160-580"
"177","2752922-580"
"178","3164363-580"
"179","3282202-580"
"180","3301827-580"
"181","3167327-30"
"182","3205601-580"
"183","3306335-30"
"184","3128490-30"
"185","3128490-580"
"186","3162970-580"
"187","3254459-580"
"188","3336797-580"
"189","3342642-30"
"190","3342643-30"
"191","3342645-30"
"192","3342646-30"
"193","3342647-30"
"194","3342648-30"
"195","3362304-580"
"196","3362305-580"
"197","3362306-580"
"198","3362309-580"
"199","3054495-580"
"200","3069320-30"
"201","3339509-580"
"202","3362301-30"
"203","3362302-30"
"204","3362303-30"
"205","3362304-30"
"206","3362305-30"
"207","3362306-30"
"208","3362307-30"
"209","3362308-30"
"210","3362309-30"
"211","3362311-30"
"212","3177392-580"
"213","3228508-580"
"214","3364620-580"
"215","3164308-580"
"216","3167327-580"
"217","3454539-580"
"218","3468596-580"
"219","3088864-580"
"220","3538723-580"
"221","3374860-580"
"222","3581139-580"
"223","3172839-580"
"224","3281700-580"
"225","3306218-580"
"226","3598030-580"
"227","3598031-580"
"228","3598032-580"
"229","3598033-580"
"230","3598035-30"
"231","3599474-580"
"232","3510722-580"
"233","3516324-580"
"234","3336797-30"
"235","3597681-580"
"236","3598028-580"
"237","3046641-580"
"238","3588249-580"
"239","3510722-30"
"240","3629287-30"
"241","3629287-580"
"242","3693183-580"
"243","1370135-30"
"244","2378449-580"
"245","3782528-580"
"246","3782617-580"
"247","3787092-580"
"248","1188174-580"
"249","3164728-580"
"250","3598004-580"
"251","3609174-580"
"252","3782822-580"
"253","3842832-580"
"254","3337056-580"
"255","1534889-580"
"256","1415687-30"
"257","3205603-580"
"258","3503397-580"
